City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Abu Dhabi,AE,2021-02-26 00:03:38,24.4667,54.3667,69.8,83,20,16.11,few clouds
138,Hede,CN,2021-02-26 00:06:24,33.7681,120.2517,43.36,74,100,13.96,light rain
139,Bradford,GB,2021-02-26 00:06:25,53.7939,-1.7521,41.0,40,0,5.91,clear sky
140,Gat,IL,2021-02-26 00:02:03,31.61,34.7642,53.01,100,0,1.99,clear sky
141,Bayonet Point,US,2021-02-26 00:06:25,28.3267,-82.6834,70.0,81,0,6.8,clear sky
142,Pangody,RU,2021-02-26 00:06:26,65.85,74.4859,-21.68,88,92,2.77,overcast clouds
143,Antalya,TR,2021-02-26 00:06:26,36.7741,30.7178,53.6,40,0,12.66,clear sky
144,Airai,TL,2021-02-26 00:03:59,-8.9266,125.4092,68.09,89,60,1.95,broken clouds
145,Bolitoc,PH,2021-02-26 00:06:27,15.7395,119.8769,80.37,70,50,1.86,scattered clouds
146,Verkhniy Uslon,RU,2021-02-26 00:06:27,55.7701,48.9823,-0.4,78,99,13.42,snow
147,Paducah,US,2021-02-26 00:06:28,37.0834,-88.6001,48.0,49,1,5.75,clear sky
148,Aitape,PG,2021-02-26 00:06:28,-3.1374,142.3475,81.54,80,100,5.97,very heavy rain
149,East London,ZA,2021-02-26 00:03:43,-33.0153,27.9116,66.87,79,37,6.24,light rain
150,El Carrizo,MX,2021-02-26 00:06:29,24.0261,-106.8814,78.01,61,32,3.0,scattered clouds
151,Letnyaya Stavka,RU,2021-02-26 00:06:29,45.4306,43.4472,26.49,92,100,16.13,overcast clouds
152,North Platte,US,2021-02-26 00:06:29,41.1239,-100.7654,39.2,56,1,10.36,clear sky
153,De Haan,BE,2021-02-26 00:06:29,51.272,3.0429,45.0,93,75,3.44,light rain
154,Manaquiri,BR,2021-02-26 00:06:30,-3.3167,-60.35,77.0,94,75,2.3,light rain
155,Koungou,YT,2021-02-26 00:06:30,-12.7336,45.2042,80.6,83,0,6.91,clear sky
156,Puerto Ayacucho,VE,2021-02-26 00:06:30,5.6639,-67.6236,80.87,69,96,4.41,overcast clouds
157,Hamilton,US,2021-02-26 00:00:12,39.1834,-84.5333,42.01,55,39,3.09,scattered clouds
158,Coquimbo,CL,2021-02-26 00:02:36,-29.9533,-71.3436,64.4,72,0,11.5,clear sky
159,Carnarvon,AU,2021-02-26 00:04:27,-24.8667,113.6333,73.4,88,75,16.11,broken clouds
160,Salta,AR,2021-02-26 00:02:37,-24.7859,-65.4117,71.6,83,75,6.91,broken clouds
161,Forest,US,2021-02-26 00:04:34,37.3638,-79.2897,50.0,34,1,3.44,clear sky
162,Normandin,CA,2021-02-26 00:06:32,48.8333,-72.5321,5.0,60,93,10.36,overcast clouds
163,Nchelenge,ZM,2021-02-26 00:06:32,-9.3451,28.734,69.1,87,74,3.8,light rain
164,San Cristobal,VE,2021-02-26 00:04:32,7.7669,-72.225,82.4,69,40,2.3,scattered clouds
165,Nuevo Emperador,PA,2021-02-26 00:06:33,8.9989,-79.7272,84.2,70,40,12.66,scattered clouds
166,Pestretsy,RU,2021-02-26 00:06:33,55.7531,49.6545,-0.4,78,100,13.42,snow
167,Vetluzhskiy,RU,2021-02-26 00:06:33,58.3902,45.4654,-2.6,92,90,5.73,overcast clouds
168,Macas,EC,2021-02-26 00:06:33,-2.3167,-78.1167,71.6,83,75,3.44,broken clouds
169,Kulhudhuffushi,MV,2021-02-26 00:06:34,6.6221,73.07,81.28,68,48,5.46,scattered clouds
170,Rawson,AR,2021-02-26 00:02:22,-43.3002,-65.1023,73.85,41,0,16.11,clear sky
171,Mount Isa,AU,2021-02-26 00:04:59,-20.7333,139.5,78.8,14,96,11.5,overcast clouds
172,Tupa,BR,2021-02-26 00:06:34,-21.9347,-50.5136,73.65,83,7,4.47,clear sky
173,Namatanai,PG,2021-02-26 00:06:35,-3.6667,152.4333,83.48,73,91,4.38,moderate rain
174,Thinadhoo,MV,2021-02-26 00:06:35,0.5333,72.9333,81.28,80,37,13.18,scattered clouds
175,Fort Nelson,CA,2021-02-26 00:02:11,58.8053,-122.7002,3.2,72,75,8.05,snow
176,Novyy Urgal,RU,2021-02-26 00:06:36,51.0736,132.5642,-3.95,86,96,2.08,overcast clouds
177,Susehri,TR,2021-02-26 00:06:36,40.1644,38.0867,22.95,91,58,1.68,broken clouds
178,Kruisfontein,ZA,2021-02-26 00:05:04,-34.0033,24.7314,63.0,94,59,1.99,light rain
179,Zelenoborsk,RU,2021-02-26 00:06:37,61.4669,64.0333,-18.08,89,0,2.04,clear sky
180,Greymouth,NZ,2021-02-26 00:06:37,-42.4667,171.2,65.48,90,79,9.64,broken clouds
181,Ixtapa,MX,2021-02-26 00:03:04,20.7,-105.2,75.2,78,75,5.75,broken clouds
182,Chapais,CA,2021-02-26 00:06:38,49.7834,-74.8492,1.4,66,90,3.44,overcast clouds
183,Pevek,RU,2021-02-26 00:04:00,69.7008,170.3133,-22.97,87,98,7.11,overcast clouds
184,Saint Anthony,US,2021-02-26 00:01:23,45.0205,-93.218,35.6,55,1,11.5,clear sky
185,Ostrovnoy,RU,2021-02-26 00:05:04,68.0531,39.5131,14.05,94,100,22.08,light snow
186,Dingle,PH,2021-02-26 00:04:22,10.9995,122.6711,78.53,83,59,5.97,broken clouds
187,Iqaluit,CA,2021-02-26 00:02:42,63.7506,-68.5145,-14.01,70,90,26.46,snow
188,Bambous Virieux,MU,2021-02-26 00:03:24,-20.3428,57.7575,78.8,78,40,4.61,scattered clouds
189,Kavieng,PG,2021-02-26 00:03:28,-2.5744,150.7967,83.88,77,72,10.56,light rain
190,Nipawin,CA,2021-02-26 00:06:40,53.3668,-104.0009,23.0,80,90,10.36,overcast clouds
191,Hambantota,LK,2021-02-26 00:05:33,6.1241,81.1185,73.4,100,20,2.3,few clouds
192,Kirundo,BI,2021-02-26 00:06:40,-2.5833,30.1667,62.01,100,15,4.0,few clouds
193,Souillac,MU,2021-02-26 00:04:19,-20.5167,57.5167,78.8,78,40,4.61,scattered clouds
194,Tasiilaq,GL,2021-02-26 00:03:20,65.6145,-37.6368,28.4,74,90,31.07,light snow
195,Kununurra,AU,2021-02-26 00:05:24,-15.7667,128.7333,84.2,64,100,1.14,overcast clouds
196,Pratapgarh,IN,2021-02-26 00:06:41,24.0333,74.7833,63.57,34,0,2.93,clear sky
197,Livingstonia,MW,2021-02-26 00:06:42,-10.606,34.1063,64.54,80,83,5.26,broken clouds
198,Ucluelet,CA,2021-02-25 23:59:53,48.9329,-125.5528,46.99,81,75,27.63,broken clouds
199,Honiara,SB,2021-02-26 00:06:42,-9.4333,159.95,81.99,85,100,9.51,overcast clouds
200,Khatanga,RU,2021-02-26 00:04:10,71.9667,102.5,-34.38,78,0,6.6,clear sky
201,Ahipara,NZ,2021-02-26 00:02:26,-35.1667,173.1667,73.76,55,3,3.83,clear sky
202,Saiha,IN,2021-02-26 00:06:43,22.4833,92.9667,57.78,62,2,3.78,clear sky
203,Qaanaaq,GL,2021-02-26 00:02:14,77.484,-69.3632,14.27,87,100,4.12,overcast clouds
204,Adeje,ES,2021-02-26 00:06:43,28.1227,-16.726,64.99,59,20,21.85,few clouds
205,Mina,MX,2021-02-26 00:06:43,26.0011,-100.5299,86.0,35,75,20.71,broken clouds
206,Fukue,JP,2021-02-26 00:01:58,32.6881,128.8419,50.0,93,75,19.57,moderate rain
207,Teya,RU,2021-02-26 00:03:29,60.3778,92.6267,-8.45,90,100,8.48,overcast clouds
208,Joshimath,IN,2021-02-26 00:06:44,30.5667,79.5667,46.27,39,0,6.42,clear sky
209,Lompoc,US,2021-02-26 00:04:10,34.6391,-120.4579,62.6,36,20,12.66,few clouds
210,Belmonte,BR,2021-02-26 00:04:53,-15.8631,-38.8828,78.8,73,20,8.05,few clouds
211,Bermejo,AR,2021-02-26 00:06:45,-32.8833,-68.8,89.6,43,40,3.44,scattered clouds
212,Reyes,BO,2021-02-26 00:06:45,-14.3167,-67.3833,87.8,84,40,1.83,scattered clouds
213,Belonia,IN,2021-02-26 00:06:46,23.2528,91.4514,62.78,96,0,6.51,clear sky
214,Arlit,NE,2021-02-26 00:06:46,18.7369,7.3853,63.46,23,0,3.24,clear sky
215,Vermillion,US,2021-02-26 00:06:47,42.7794,-96.9292,42.8,42,1,10.36,clear sky
